WS-#,Site,Time,Date,pH,Notes,Type,deep C screen,Na-MP,Na mg/L,Mg-MP,Mg mg/L,Al-MP,Al mg/L,Si-MP,Si mg/L,P-MP,K-MP,K mg/L,Ca-MP,Ca mg/L,Mn-MP,Mn mg/L,Fe-MP,Fe mg/L,Zn-MP,Rb-MP,Sr-MP,Ba-MP,Pb-MP,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,PB0,4:00,29-Oct-12,5.72,Isco-3,3,,0.91,0.96,0.18,0.20,0.08,0.11,2.52,2.86,0.00,0.09,0.11,0.61,0.64,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.38,0.00,3.25,2.22,0.09,-0.003,0.051,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,PB0,6:00,29-Oct-12,5.75,Isco-4,3,,0.91,0.98,0.18,0.21,0.09,0.11,2.45,2.89,0.00,0.10,0.11,0.59,0.64,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.39,0.00,3.14,2.28,0.08,0.000,0.050,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,PB0,8:00,29-Oct-12,5.78,Isco-5,3,,0.90,0.96,0.18,0.20,0.09,0.12,2.47,2.83,0.00,0.09,0.11,0.61,0.63,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.37,0.01,3.16,2.14,0.09,0.001,0.049,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,PB0,10:00,29-Oct-12,5.81,Isco-6,3,,0.91,0.96,0.17,0.20,0.11,0.11,2.55,2.82,0.00,0.09,0.11,0.59,0.63,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.06,0.37,0.00,3.04,2.17,0.09,-0.002,0.047,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,PB0,12:00,29-Oct-12,5.77,Isco-7,3,,0.91,0.97,0.17,0.21,0.10,0.11,2.53,2.87,0.00,0.10,0.11,0.59,0.64,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.38,0.00,3.19,2.26,0.09,0.002,0.048,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,PB0,14:00,29-Oct-12,5.75,Isco-8,3,,0.92,0.96,0.17,0.20,0.07,0.12,2.57,2.83,0.00,0.10,0.12,0.57,0.63,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.02,0.37,0.00,3.27,2.19,0.08,-0.001,0.043,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,PB0,16:00,29-Oct-12,5.75,Isco-9,3,,0.90,0.95,0.17,0.19,0.06,0.09,2.59,2.81,0.00,0.10,0.12,0.59,0.61,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.37,0.00,3.22,2.19,0.07,0.001,0.044,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,PB0,18:00,29-Oct-12,5.77,Isco-10,3,,0.91,0.96,0.17,0.20,0.07,0.12,2.53,2.81,0.00,0.14,0.16,0.57,0.63,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.39,0.00,3.21,2.41,0.10,0.006,0.046,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,PB0,20:00,29-Oct-12,5.75,Isco-11 Rising,3,,0.89,0.95,0.17,0.20,0.10,0.12,2.42,2.79,0.00,0.20,0.22,0.58,0.62,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.41,0.00,3.18,2.58,0.09,0.005,0.050,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,PB0,22:00,29-Oct-12,5.86,Isco-12 Rising,3,,0.89,0.92,0.17,0.20,0.13,0.14,2.42,2.68,0.00,0.23,0.26,0.57,0.62,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.42,0.00,3.07,2.86,0.10,0.008,0.055,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,PB0,0:00,30-Oct-12,5.93,Isco-13 Peak,3,,0.84,0.88,0.17,0.19,0.14,0.17,2.34,2.57,0.00,0.28,0.32,0.56,0.60,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.41,0.02,2.92,3.32,0.13,-0.001,0.068,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,PB0,2:00,30-Oct-12,5.61,Isco-14 Falling,3,,0.81,0.83,0.16,0.18,0.13,0.18,2.28,2.46,0.00,0.28,0.32,0.55,0.57,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.43,0.03,2.87,3.31,0.12,0.002,0.078,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,PB0,4:00,30-Oct-12,5.49,Isco-15,3,,0.82,0.84,0.16,0.18,0.15,0.18,2.27,2.46,0.00,0.25,0.28,0.52,0.56,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.02,0.45,0.03,2.80,3.28,0.12,0.005,0.083,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,PB0,6:00,30-Oct-12,5.55,Isco-16,3,,0.83,0.85,0.16,0.18,0.16,0.18,2.31,2.48,0.01,0.22,0.24,0.54,0.57,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.48,0.02,2.82,3.15,0.10,0.002,0.082,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,PB0,8:00,30-Oct-12,5.49,Isco-17,3,,0.85,0.86,0.16,0.18,0.14,0.18,2.35,2.51,0.00,0.20,0.22,0.54,0.58,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.48,0.00,2.88,3.10,0.12,0.006,0.080,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,PB0,10:00,30-Oct-12,5.53,Isco-18,3,,0.83,0.85,0.16,0.18,0.17,0.16,2.32,2.48,0.01,0.18,0.20,0.53,0.58,0.01,0.02,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.02,0.49,0.00,2.87,3.13,0.10,0.001,0.079,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,PB0,12:00,30-Oct-12,5.46,Isco-19,3,,0.84,0.84,0.16,0.18,0.16,0.16,2.38,2.49,0.01,0.17,0.20,0.53,0.57,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.02,0.46,0.01,2.88,3.01,0.12,-0.002,0.083,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,PB0,14:00,30-Oct-12,5.43,Isco-20,3,,0.83,0.84,0.16,0.18,0.13,0.18,2.36,2.50,0.01,0.15,0.19,0.52,0.56,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.50,0.00,2.96,2.99,0.10,0.000,0.079,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,PB0,16:00,30-Oct-12,5.48,Isco-21,3,,0.84,0.84,0.16,0.18,0.15,0.15,2.33,2.51,0.00,0.14,0.18,0.53,0.57,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.02,0.45,0.00,2.87,2.97,0.11,0.004,0.083,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,PB0,18:00,30-Oct-12,5.64,Isco-22,3,,0.84,0.85,0.16,0.18,0.17,0.16,2.29,2.44,0.00,0.17,0.28,0.54,0.57,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.62,0.00,2.86,3.08,0.15,0.000,0.077,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,PB0,20:00,30-Oct-12,5.32,Isco-23,3,,0.68,0.68,0.15,0.17,0.27,0.27,2.00,2.12,0.01,0.47,0.55,0.55,0.60,0.02,0.02,0.00,0.02,0.01,0.00,0.00,0.01,0.00,0.02,0.67,0.28,2.35,5.44,0.22,0.005,0.156,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,PB0,22:00,30-Oct-12,5.16,Isco-24,3,,0.66,0.66,0.15,0.17,0.26,0.30,2.05,2.11,0.01,0.38,0.42,0.57,0.59,0.02,0.02,0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.03,0.70,0.38,2.28,5.18,0.24,0.004,0.155,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,PB0,12:20,6-Nov-12,5.53,,3,,0.81,0.90,0.17,0.19,0.13,0.12,2.20,2.57,,0.08,0.09,0.55,0.60,0.01,0.01,0.00,0.02,,0.00,0.00,0.00,0.00,0.03,0.44,0.03,3.03,2.07,0.07,0.003,0.053,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,PB0,12:55,21-Nov-12,5.47,,3,,0.89,1.02,0.19,0.19,0.12,0.12,2.35,2.61,,0.06,0.08,0.58,0.68,0.00,0.01,0.00,0.02,,0.00,0.00,0.00,0.00,0.03,0.42,0.12,3.02,1.87,0.10,0.008,0.045,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,PB0,9:38,3-Dec-12,5.54,,3,,0.88,0.94,0.20,0.19,0.15,0.14,2.16,2.23,,0.10,0.10,0.63,0.68,0.00,0.01,0.00,0.02,,0.00,0.00,0.00,0.00,0.03,0.46,0.70,2.82,2.21,0.27,0.003,0.077,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,PB0,9:41,18-Dec-12,5.41,,3,,1.06,0.89,0.24,0.20,0.16,0.11,2.61,2.51,,0.08,0.09,0.72,0.59,0.01,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.03,0.41,0.39,2.82,1.80,0.18,0.003,0.054,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,PB0,11:54,2-Jan-13,5.44,,3,,0.97,0.97,0.22,0.20,0.13,0.10,2.53,2.75,,0.08,0.09,0.66,0.62,0.00,0.01,0.00,0.02,,0.00,0.00,0.00,0.00,0.02,0.42,0.37,3.08,1.77,0.17,0.009,0.059,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,PB0,9:53,14-Jan-13,5.37,,3,,0.90,0.85,0.20,0.28,0.17,0.11,2.15,2.37,,0.12,0.10,0.64,0.69,0.01,0.01,0.01,0.02,,0.00,0.00,0.00,0.00,0.03,0.37,0.71,2.66,1.98,0.22,0.003,0.056,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,PB0,11:30,28-Jan-13,5.40,,3,,1.12,1.07,0.26,0.26,0.12,0.10,2.92,3.26,,0.09,0.10,0.74,0.78,0.00,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.03,0.44,0.43,3.32,1.95,0.25,0.027,0.048,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,PB0,8:30,31-Jan-13,5.04,,3,,0.69,0.66,0.21,0.19,0.56,0.27,1.87,2.03,,0.32,0.30,0.63,0.64,0.05,0.02,0.11,0.02,,0.00,0.00,0.00,0.00,0.02,0.37,1.62,2.24,3.81,0.58,0.023,0.168,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,PB0,10:02,13-Feb-13,5.54,,3,,0.96,0.91,0.23,0.23,0.12,0.10,2.50,2.72,,0.10,0.09,0.69,0.71,0.00,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.03,0.43,0.57,2.97,1.55,0.20,0.010,0.041,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,PB0,10:07,26-Feb-13,5.55,,3,,1.03,1.01,0.24,0.25,0.11,0.10,2.58,2.84,,0.12,0.12,0.71,0.81,0.00,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.03,0.52,0.56,3.29,1.57,0.18,0.003,0.037,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,PB0,16:00,10-Mar-13,5.78,isco,3,,1.05,,0.25,,0.11,,2.55,,,0.13,,0.66,,0.00,,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,PB0,0:00,11-Mar-13,5.74,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.39,0.51,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,PB0,1:00,11-Mar-13,5.71,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.39,0.49,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,PB0,2:00,11-Mar-13,5.76,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.37,0.51,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,PB0,3:00,11-Mar-13,5.70,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.37,0.51,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,PB0,4:00,11-Mar-13,5.69,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.39,0.51,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,PB0,13:31,11-Mar-13,4.97,,3,,1.00,0.95,0.23,0.24,0.09,0.07,2.49,2.76,,0.12,0.11,0.68,0.73,0.00,0.01,0.00,0.02,,0.00,0.00,0.00,0.00,0.03,0.45,0.50,3.13,1.64,0.20,0.003,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,PB0,14:00,11-Mar-13,5.54,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.41,0.49,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,PB0,15:00,11-Mar-13,5.60,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.39,0.43,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,PB0,16:00,11-Mar-13,5.62,isco,3,,,0.98,,0.23,,0.08,,2.73,,,0.11,,0.71,,0.01,,0.02,,,,,,0.03,0.44,0.48,3.28,,,0.003,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,PB0,17:00,11-Mar-13,5.76,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.39,0.43,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,PB0,18:00,11-Mar-13,5.73,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.41,0.47,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,PB0,19:00,11-Mar-13,5.67,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.38,0.48,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,PB0,20:00,11-Mar-13,5.71,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.39,0.44,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,PB0,21:00,11-Mar-13,5.67,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.37,0.48,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,PB0,22:00,11-Mar-13,5.71,isco,3,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.38,0.41,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
